Date;Supply;Burned Today;Burned Total;
20/03/2024;1.000.000.000;0;0;
21/03/2024;999.432.000;568.000;568.000;
22/03/2024;998.900.000;532.000;1.100.000;
23/03/2024;998.570.000;330.000;1.430.000;
24/03/2024;998.300.000;270.000;1.700.000;
25/03/2024;998.000.000;300.000;2.000.000;
26/03/2024;997.200.000;800.000;2.800.000;
27/03/2024;996.700.000;500.000;3.300.000;
28/03/2024;996.000.000;700.000;4.000.000;
29/03/2024;995.500.000;500.000;4.500.000;
30/03/2024;995.000.000;500.000;5.000.000;
31/03/2024;994.409.022;590.978;5.590.978;
01/04/2024;992.867.655;-1.541.367;7.132.345;
02/04/2024;989.608.000;-3.259.655;10.392.000;
03/04/2024;988.608.000;-1.000.000;11.392.000;
04/04/2024;987.608.000;-1.000.000;12.392.000;
05/04/2024;987.108.000;-500.000;12.892.000;
06/04/2024;986.608.000;-500.000;13.392.000;
07/04/2024;985.270.172;-1.337.828;14.729.828;
08/04/2024;984.492.395;-777.777;15.507.605;
09/04/2024;983.793.857;-698.538;16.206.143;
10/04/2024;983.096.888;-696.969;16.903.112;
11/04/2024;982.399.919;-696.969;17.600.081;
12/04/2024;981.899.919;-500.000;18.100.081;
13/04/2024;981.399.096;-500.823;18.600.904;
14/04/2024;980.899.096;-500.000;19.100.904;
15/04/2024;980.399.096;-500.000;19.600.904;
16/04/2024;980.000.000;-399.096;20.000.000;
17/04/2024;979.303.031;-696.969;20.696.969;
18/04/2024;978.803.031;-500.000;21.196.969;
19/04/2024;978.303.031;-500.000;21.696.969;
20/04/2024;977.803.031;-500.000;22.196.969;
21/04/2024;977.303.031;-500.000;22.696.969;
22/04/2024;976.803.031;-500.000;23.196.969;
23/04/2024;976.303.031;-500.000;23.696.969;
24/04/2024;975.802.341;-500.690;24.197.659;
25/04/2024;975.302.341;-500.000;24.697.659;
26/04/2024;974.802.341;-500.000;25.197.659;
27/04/2024;974.302.331;-500.010;25.697.669;
28/04/2024;973.802.331;-500.000;26.197.669;
29/04/2024;973.300.951;-501.380;26.699.049;
30/04/2024;972.800.951;-500.000;27.199.049;
01/05/2024;972.300.951;-500.000;27.699.049;
02/05/2024;971.800.951;-500.000;28.199.049;
03/05/2024;971.300.951;-500.000;28.699.049;
04/05/2024;970.800.951;-500.000;29.199.049;
05/05/2024;970.500.000;-300.951;29.500.000;
06/05/2024;970.000.000;-500.000;30.000.000;
07/05/2024;969.750.000;-250.000;30.250.000;
08/05/2024;969.500.000;-250.000;30.500.000;
09/05/2024;969.250.000;-250.000;30.750.000;
10/05/2024;969.000.000;-250.000;31.000.000;
11/05/2024;968.750.000;-250.000;31.250.000;
12/05/2024;968.500.000;-250.000;31.500.000;
13/05/2024;968.250.000;-250.000;31.750.000;
14/05/2024;968.000.000;-250.000;32.000.000;
15/05/2024;967.750.000;-250.000;32.250.000;
16/05/2024;967.500.000;-250.000;32.500.000;
